Date, Price, Decision, Cash Balance, Holding Balance, Flip, Total Profit
2021-05-21 10:39:00, $1,361.60, SELL, $100,088.51, $0.00, $0.00, $88.51
2021-05-21 10:40:00, $1,362.31, BUY, $98,726.20, $1,362.31, $0.00, $88.51
2021-05-21 10:43:00, $1,362.59, HOLD, $98,726.20, $1,362.31, $0.00, $88.51
2021-05-21 10:47:00, $1,361.65, SELL, $100,087.86, $0.00, $-0.65, $87.86
2021-05-21 10:54:00, $1,360.36, HOLD, $100,087.86, $0.00, $0.00, $87.86
2021-05-21 10:56:00, $1,358.64, SELL, $100,087.86, $0.00, $0.00, $87.86
2021-05-21 10:57:00, $1,358.51, HOLD, $100,087.86, $0.00, $0.00, $87.86
2021-05-21 10:59:00, $1,358.32, SELL, $100,087.86, $0.00, $0.00, $87.86
2021-05-21 11:02:00, $1,358.09, HOLD, $100,087.86, $0.00, $0.00, $87.86
2021-05-21 11:04:00, $1,358.28, BUY, $98,729.57, $1,358.28, $0.00, $87.86
2021-05-21 11:11:00, $1,359.87, HOLD, $98,729.57, $1,358.28, $0.00, $87.86
2021-05-21 11:13:00, $1,361.52, BUY, $97,368.06, $2,719.80, $0.00, $87.86
2021-05-21 11:22:00, $1,363.27, HOLD, $97,368.06, $2,719.80, $0.00, $87.86
2021-05-21 11:24:00, $1,364.86, BUY, $96,003.20, $4,084.66, $0.00, $87.86
2021-05-21 11:31:00, $1,365.98, HOLD, $96,003.20, $4,084.66, $0.00, $87.86
2021-05-21 11:39:00, $1,367.31, BUY, $94,635.89, $5,451.97, $0.00, $87.86
2021-05-21 11:48:00, $1,367.33, HOLD, $94,635.89, $5,451.97, $0.00, $87.86
2021-05-21 11:50:00, $1,367.69, BUY, $93,268.20, $6,819.66, $0.00, $87.86
2021-05-21 12:05:00, $1,366.77, SELL, $100,102.06, $0.00, $-0.92, $102.06
2021-05-21 12:12:00, $1,366.07, HOLD, $100,102.06, $0.00, $0.00, $102.06
2021-05-21 12:14:00, $1,365.85, SELL, $100,102.06, $0.00, $0.00, $102.06
2021-05-21 12:20:00, $1,366.43, BUY, $98,735.63, $1,366.43, $0.00, $102.06
2021-05-21 12:29:00, $1,366.85, HOLD, $98,735.63, $1,366.43, $0.00, $102.06
2021-05-21 12:35:00, $1,367.11, BUY, $97,368.51, $2,733.54, $0.00, $102.06
2021-05-21 12:36:00, $1,366.98, SELL, $100,102.48, $0.00, $-0.13, $102.48
2021-05-21 12:37:00, $1,366.49, HOLD, $100,102.48, $0.00, $0.00, $102.48
2021-05-21 12:41:00, $1,366.42, SELL, $100,102.48, $0.00, $0.00, $102.48
2021-05-21 12:43:00, $1,366.73, BUY, $98,735.74, $1,366.73, $0.00, $102.48
2021-05-21 12:44:00, $1,367.24, HOLD, $98,735.74, $1,366.73, $0.00, $102.48
2021-05-21 12:48:00, $1,368.01, BUY, $97,367.73, $2,734.74, $0.00, $102.48
2021-05-21 12:49:00, $1,368.48, HOLD, $97,367.73, $2,734.74, $0.00, $102.48
2021-05-21 12:50:00, $1,369.40, BUY, $95,998.34, $4,104.14, $0.00, $102.48
2021-05-21 12:51:00, $1,370.11, HOLD, $95,998.34, $4,104.14, $0.00, $102.48
2021-05-21 12:52:00, $1,370.44, BUY, $94,627.89, $5,474.58, $0.00, $102.48
2021-05-21 12:53:00, $1,370.38, SELL, $100,109.41, $0.00, $-0.06, $109.41
2021-05-21 12:55:00, $1,369.75, HOLD, $100,109.41, $0.00, $0.00, $109.41
2021-05-21 12:59:00, $1,369.33, SELL, $100,109.41, $0.00, $0.00, $109.41
2021-05-21 13:04:00, $1,368.63, HOLD, $100,109.41, $0.00, $0.00, $109.41
2021-05-21 13:07:00, $1,367.61, SELL, $100,109.41, $0.00, $0.00, $109.41
2021-05-21 13:11:00, $1,366.41, HOLD, $100,109.41, $0.00, $0.00, $109.41
2021-05-21 13:21:00, $1,364.41, SELL, $100,109.41, $0.00, $0.00, $109.41
2021-05-21 13:23:00, $1,363.84, HOLD, $100,109.41, $0.00, $0.00, $109.41
2021-05-21 13:28:00, $1,364.06, BUY, $98,745.34, $1,364.06, $0.00, $109.41
2021-05-21 13:42:00, $1,365.28, HOLD, $98,745.34, $1,364.06, $0.00, $109.41
2021-05-21 13:58:00, $1,365.64, BUY, $97,379.70, $2,729.70, $0.00, $109.41
2021-05-21 14:00:00, $1,365.69, HOLD, $97,379.70, $2,729.70, $0.00, $109.41
2021-05-21 14:03:00, $1,366.15, BUY, $96,013.55, $4,095.86, $0.00, $109.41
2021-05-21 14:05:00, $1,367.32, HOLD, $96,013.55, $4,095.86, $0.00, $109.41
2021-05-21 14:09:00, $1,368.73, BUY, $94,644.82, $5,464.58, $0.00, $109.41
2021-05-21 14:11:00, $1,369.93, HOLD, $94,644.82, $5,464.58, $0.00, $109.41
2021-05-21 14:15:00, $1,370.96, BUY, $93,273.86, $6,835.55, $0.00, $109.41
2021-05-21 14:17:00, $1,371.44, HOLD, $93,273.86, $6,835.55, $0.00, $109.41
2021-05-21 14:19:00, $1,372.24, BUY, $91,901.62, $8,207.79, $0.00, $109.41
2021-05-21 14:21:00, $1,372.42, HOLD, $91,901.62, $8,207.79, $0.00, $109.41
2021-05-21 14:23:00, $1,373.78, BUY, $90,527.84, $9,581.57, $0.00, $109.41
2021-05-21 14:25:00, $1,372.94, SELL, $100,138.43, $0.00, $-0.84, $138.43
2021-05-21 14:27:00, $1,371.92, HOLD, $100,138.43, $0.00, $0.00, $138.43
2021-05-21 14:33:00, $1,370.34, SELL, $100,138.43, $0.00, $0.00, $138.43
2021-05-21 14:36:00, $1,370.98, BUY, $98,767.45, $1,370.98, $0.00, $138.43
2021-05-21 14:37:00, $1,372.20, HOLD, $98,767.45, $1,370.98, $0.00, $138.43
2021-05-21 14:40:00, $1,372.20, BUY, $97,395.25, $2,743.19, $0.00, $138.43
2021-05-21 14:41:00, $1,370.62, SELL, $100,136.49, $0.00, $-1.58, $136.49
2021-05-21 14:43:00, $1,369.04, HOLD, $100,136.49, $0.00, $0.00, $136.49
2021-05-21 14:46:00, $1,368.16, SELL, $100,136.49, $0.00, $0.00, $136.49
2021-05-21 14:49:00, $1,369.06, BUY, $98,767.43, $1,369.06, $0.00, $136.49
2021-05-21 14:50:00, $1,369.62, HOLD, $98,767.43, $1,369.06, $0.00, $136.49
2021-05-21 14:54:00, $1,369.87, BUY, $97,397.56, $2,738.93, $0.00, $136.49
2021-05-21 14:55:00, $1,369.50, SELL, $100,136.57, $0.00, $-0.37, $136.57
2021-05-21 14:56:00, $1,368.93, HOLD, $100,136.57, $0.00, $0.00, $136.57
2021-05-21 14:57:00, $1,368.62, SELL, $100,136.57, $0.00, $0.00, $136.57
2021-05-21 14:58:00, $1,371.00, BUY, $98,765.57, $1,371.00, $0.00, $136.57
2021-05-21 14:59:00, $1,375.49, HOLD, $98,765.57, $1,371.00, $0.00, $136.57
2021-05-24 08:38:00, $1,380.06, BUY, $97,385.51, $2,751.06, $0.00, $136.57
2021-05-24 08:41:00, $1,381.41, HOLD, $97,385.51, $2,751.06, $0.00, $136.57
